# Registry of RETRACTED phrasings — consumed by scripts/doc_gates.sh (gate 3).
#
# WHY: a correction ledger that says "this was propagated" is a CLAIM, not evidence.
# On 2026-08-01 the four-rule conflict theorem's retracted scope was still stated on the
# README front page, in TR-1's executive summary, in a figure alt-text, and in the
# CLAIMS_DECIDED row grading it REFUTED — invisible to three review passes precisely
# because TR-2's revision entry asserted the propagation was already done. This file
# makes the ledger self-enforcing: add a row when you retract something, and the gate
# fails if the retracted wording ever reappears.
#
# FORMAT (tab-separated, 3 columns):
#   <retracted fixed string>	<file allowed to narrate the retraction>	<note>
# The allow column is matched as a substring of the "file:line:" prefix, so it exempts
# the document that legitimately quotes the old wording while explaining the retraction.
#
# ADD A ROW EVERY TIME YOU RETRACT OR RESCOPE A PUBLISHED CLAIM.
#
# ============================================================================================
# THE CENSUS RULE (2026-09-02, prose batch B3 — backlog items 151 and 155)
#
# WHY IT IS HERE RATHER THAN IN A FINDING DOCUMENT. Five batches in one night each found a live
# site this registry could not have caught, for five structurally different reasons, and each
# wrote the lesson into its own row note. A lesson recorded five times in five notes is a lesson
# nobody applies at the sixth registration. This file is the one thing a batch is guaranteed to
# open when it registers a row, so the rule lives here and nowhere else. It is written as a
# checklist because that is the only form a later batch can be held to.
#
# THE PROPERTY THE WHOLE RULE DEFENDS: a needle matching nothing is NOT evidence the claim is
# gone. It may be evidence the needle cannot reach it. Every failure below is silent and
# reassuring — the census reports "1 -> 0", GATE 3 prints [ok], GATE 11 confirms the ledger
# entry, and the claim is still published. Every statement in that chain is true.
#
# ---- PART A: WHAT A CENSUS MUST GREP IN ADDITION TO THE REGISTERED WORDING -----------------
# Run all six before reporting a count. Each is a spelling in which the same claim survives.
#
#   A1. THE VALUE, ABBREVIATED. A retired number has spellings. Grep the full integer AND the
#       conventional short form, with and without digit-group commas, in every unit prefix the
#       corpus uses. (P76: one long-form occurrence and four short-form ones in one file, so a
#       grep for the integer EXONERATED it. Two earlier passes had been through that file.)
#
#   A2. THE CLAIM, RE-INFLECTED. Grep the claim's content words, not the registered sentence.
#       An adverb-plus-participle also appears as a hyphenated adjective, a noun phrase and a
#       relative clause. (P69: ten registered needles all spelled one form; the survivor was
#       the hyphenated adjective, and ZERO of the ten matched it when all were run mechanically.)
#
#   A3. CHARACTER VARIANTS. fold_variants() in scripts/doc_gates.sh normalises quotes, three
#       dash forms, the multiplication glyphs, >= and <=, four space widths and digit commas.
#       It deliberately does NOT fold backtick, ellipsis or the approximation glyphs — each a
#       measured decision recorded at the function. Grep the unfolded families by hand.
#
#   A4. THE LINE WRAP. git grep is line-based; GATE 3 flattens the file first. A claim spanning
#       a hard wrap is invisible to the grep that "cleared" it and visible to the gate, which
#       reports it as (spans-lines). Flatten before grepping, or trust the gate over your search.
#       (RP-face5c0c is such a site.)
#
#   A5. THE CORPUS BOUNDARY. GATE 3 sees the tracked *.md set plus reports/evidence/**. It does
#       NOT see .py, .c, .sh, .lean, .tsv or .txt. Grep those separately, ALWAYS, and expect
#       hits — the emitter is where a retracted claim reaches a reader who never opens a
#       document. (RP-40edf278: four roae.py sites. RP-20bac6b5: solve.py:1581 prints the
#       retired framing at run time, four lines below the docstring that withdraws it.)
#
#   A6. THE SAME CLAIM IN ANOTHER AUTHOR'S WORDS. Grep the claim's distinctive proper nouns and
#       its logical SHAPE — a boundary index near a universal negator, a named source near a
#       present-tense assertion — not its words. Needles-per-claim scales with the number of
#       people who ever wrote the claim, not with the number of files. (RP-9854018f: the same
#       universal, live in a second file, sharing NO substring with the first.)
#
# ---- PART B: HOW TO TELL WHEN NO SINGLE NEEDLE CAN COVER A CLAIM ---------------------------
# Any ONE of these is decisive. When one holds, register the sites separately and say in each
# note that it is one of N. Never widen a needle to force the sites into a single row.
#
#   B1. THE LIVE SITES' LONGEST COMMON SUBSTRING IS NOT THE CLAIM. If the shared span is a
#       neutral referent — a commit range, a constraint name, a file path — registering it is a
#       FALSE RETRACTION against wording the project still uses correctly. Measure the shared
#       span before choosing it. (Item 19: one claim, three grammars, three rows.)
#
#   B2. WIDENING WOULD SWALLOW A CORRECT LIVE USE. Test the wider needle FIRST with
#       allow=__none__ and read which files it hits; if any hit is correct prose, the wider
#       needle is dead. Measure, do not reason about it. (P68 measured and REJECTED a covering
#       needle on exactly this ground; RP-b2782ac4's note records a second rejection.)
#
#   B3. THE CLAIM IS NARRATED IN MORE THAN ONE FILE. The allow column holds ONE filename. Two
#       legitimate narrators need two rows, or one narrow needle per narrator. There is no third
#       option, and editing a faithful historical record so that a gate goes green is not one.
#       (RP-20bac6b5's note records the spelling that had to be given up for this reason.)
#
#   B4. WHAT WAS WITHDRAWN IS AN IMPLICATION OVER A TRUE PREMISE. The needle must carry the
#       implication. Registering the premise puts a false retraction on the permanent record
#       and, if a sweep follows the registration, drives correct statements out of the code.
#       (RP-9ef9344b: the premise is asserted correctly in two verifiers and one document.)
#
#   B5. THE SURVIVOR IS OUTSIDE THE CORPUS. No row can reach it. Disclose it by file and line in
#       the row note AND in the ledger entry, and say plainly that the row does not cover it. A
#       row that reads like coverage it does not provide is worse than no row at all.
#
# ---- PART C: WHAT TO REPORT ----------------------------------------------------------------
# A census result is "<before> -> <after>" PLUS which of A1-A6 were actually run. A bare "0 hits"
# is not a census; it is one grep. And a needle must match at least one site at HEAD before it is
# registered: a row whose needle has never matched anything cannot be distinguished, later, from
# a row whose claim was swept — both print [ok] forever.
# ============================================================================================

don't survive mathematical scrutiny	CORRECTIONS.md	Retracted 2026-08-02 (task #101, author-statement audit): the closing verdict converted hedged nulls plus RELAYED third-party critiques into an unqualified judgement against a named (deceased) researcher. MCKENNA.md's own items 1-4 concede small-N ('the data is too short to be conclusive'); items 5-8 are Watkins's and Meyer's critiques whose evidence lives entirely off-repo and which we relay rather than re-derive. Replaced with a measurement-scoped statement plus explicit attribution of the relayed critiques. Allow-column re-scoped 2026-08-02 (round 14 ledger) from the source file to CORRECTIONS.md: CX-23 quoted this wording VERBATIM in the ledger, which GATE 3 correctly failed on, and CORRECTIONS.md is append-only (GATE 10b) so the quotation cannot be removed. The source-file exemption is dropped rather than kept alongside, because the wording no longer survives there (measured: git grep -F over every tracked .md returns hits in CORRECTIONS.md only), so this re-scope makes GATE 3 STRICTER on live prose and narrower overall.
evidently never scanned	CORRECTIONS.md	Retracted 2026-08-02 (task #101): attributed a PROCESS to Davis on the evidence of an outcome. What we measured is that the other 28 pairs are not treated in the book; whether he checked them is not observable from the text. Replaced with the outcome statement. Allow-column re-scoped 2026-08-02 (round 14 ledger) from the source file to CORRECTIONS.md: CX-23 quoted this wording VERBATIM in the ledger, which GATE 3 correctly failed on, and CORRECTIONS.md is append-only (GATE 10b) so the quotation cannot be removed. The source-file exemption is dropped rather than kept alongside, because the wording no longer survives there (measured: git grep -F over every tracked .md returns hits in CORRECTIONS.md only), so this re-scope makes GATE 3 STRICTER on live prose and narrower overall.
lacks independent corroboration in the published literature	CORRECTIONS.md	Retracted 2026-08-02 (task #101): a literature-WIDE negative resting on a single checked source (Cook 2006). Replaced with 'we have located no independent corroboration (checked: Cook 2006)', which states our search rather than the literature's contents. Same defect corrected at HISTORY.md:3852. Allow-column re-scoped 2026-08-02 (round 14 ledger) from the source file to CORRECTIONS.md: CX-23 quoted this wording VERBATIM in the ledger, which GATE 3 correctly failed on, and CORRECTIONS.md is append-only (GATE 10b) so the quotation cannot be removed. The source-file exemption is dropped rather than kept alongside, because the wording no longer survives there (measured: git grep -F over every tracked .md returns hits in CORRECTIONS.md only), so this re-scope makes GATE 3 STRICTER on live prose and narrower overall.
measured and refuted	CORRECTIONS.md	Retracted 2026-08-02 (task #101): conflated the two prongs of the McKenna & Mair 1979 position. Their structural-poverty PREMISE is measured (a measured-values judgement); their Gray-code CONSTRUCTION is proven impossible under the pairing. The heading asserted refutation of both. Replaced with 'measured, and its construction refuted'. The impossibility result keeps full strength - it is kernel-checked and if anything under-claimed. Allow-column re-scoped 2026-08-02 (round 14 ledger) from the source file to CORRECTIONS.md: CX-23 quoted this wording VERBATIM in the ledger, which GATE 3 correctly failed on, and CORRECTIONS.md is append-only (GATE 10b) so the quotation cannot be removed. The source-file exemption is dropped rather than kept alongside, because the wording no longer survives there (measured: git grep -F over every tracked .md returns hits in CORRECTIONS.md only), so this re-scope makes GATE 3 STRICTER on live prose and narrower overall.
A one-off within his oeuvre	CORRECTIONS.md	Retracted 2026-08-02 (task #101): an unsourced characterisation of Suenaga's entire body of work, used to bound the standing of a paper we cite as the sharpest published COUNTING result. We searched for other hexagram-sequence work by him and found none; that is a fact about our search. Replaced accordingly, keeping the substantive lineage claim. Allow-column re-scoped 2026-08-02 (round 14 ledger) from the source file to CORRECTIONS.md: CX-23 quoted this wording VERBATIM in the ledger, which GATE 3 correctly failed on, and CORRECTIONS.md is append-only (GATE 10b) so the quotation cannot be removed. The source-file exemption is dropped rather than kept alongside, because the wording no longer survives there (measured: git grep -F over every tracked .md returns hits in CORRECTIONS.md only), so this re-scope makes GATE 3 STRICTER on live prose and narrower overall.
Same imperfect-resume artifact pattern as	CORRECTIONS.md	Retracted 2026-08-08 (task #187, CX-34): applied to the 100B canonical f1709ab0, which reproduces EXACTLY from four code states across two lineages (v1 3258f4c, v1 a2ead96, v4 b0221a31, v4 a0542067; all 12,386,121 records). The 2026-05-25 bisect that concluded 'irreproducible' ran a DIFFERENT decomposition (SOLVE_DEPTH=3, SOLVE_PER_SUB_BRANCH_LIMIT=631545, ~158K shallow sub-branches, 27,664,734 records) from the engine auto-divide (3,030 sub-branches x 33,003,300). Configuration difference, not corruption. Allow-column is CORRECTIONS.md because CX-34 quotes the retracted wording verbatim and CORRECTIONS.md is append-only (GATE 10b); the wording no longer survives in live prose. CORRECTED 2026-08-08: that statement is true ONLY of this exact needle. A morphological variant ('does not reproduce from its own baseline commit') survived at CANONICAL_HASHES.md item 3 for the whole day, 22 lines from the reinstatement, and GATE 3 reported green over it because a fixed-string gate structurally cannot catch a near-miss. Fixed by editing the site, not by widening the needle - widening would false-positive on the sibling deprecations c34390c0/f7b8c4fb, which legitimately still use resume-contamination language and still stand. THE GENERAL LESSON: a green GATE 3 attests that the REGISTERED STRINGS are absent, not that the retracted CLAIM is. NOTE the sibling deprecations c34390c0 and f7b8c4fb are NOT retracted - they rest on record-count deltas against named reproducible replacements and still stand.
is an imperfect-resume artifact	CORRECTIONS.md	Retracted 2026-08-08 (task #187, CX-34): the HISTORY.md 2026-05-25 wording asserting this of the 100B canonical f1709ab0. Same retraction and same evidence as the row above; registered separately because the two sites worded the claim differently and a single needle would have missed one. Allow-column CORRECTIONS.md for the same append-only reason.
abort with SIGSEGV	CORRECTIONS.md	The --estimate-knuth stack failure MODE, retracted 2026-09-01. Since 2026-08-21 solve.c preflights RLIMIT_STACK, prints the >=16 MB requirement and exits 1 (solve.c:18865-18875); it does not segfault. NOTE: this row retracts the failure MODE only. (Superseded caution, corrected 2026-09-02 by prose batch P37: this read "the `ulimit -s unlimited` REQUIREMENT is TRUE and must never be swept". The requirement was itself over-strict -- solve.c enforces >= 16 MB, not unlimited -- and is retracted by its own row below; that row and this one are disjoint and must stay so.) Six passes miscounted this class by grepping SIGSEGV instead of reading the sentence: 9 files carry a CORRECT historical clause ("previously a bare SIGSEGV") and must not be touched.
aborts with SIGSEGV	CORRECTIONS.md	Same retraction, singular-subject phrasing. Registered only after all 5 live sites were fixed (P24 + P48) -- registering it earlier would have made GATE 3 red for everyone, which is why it sat unregistered through four adjudication batches that each named it as the cheapest available fix.
the orientation bit is definitional, classically attested	__none__	C4 orientation attestation, retracted 2026-08-30 and propagated 2026-09-01. The Xugua attests that the {Heaven, Earth} PAIR opens; it does not attest the order WITHIN the pair, which is this project's convention. Primary-text basis: roae-private books/li_shangxin/B1_KONGYINGDA_XUGUA_VERIFY.md reads Kong Yingda's er-er xiang ou, fei fu ji bian as a C1 pedigree, with qian-kun appearing as an EXAMPLE of a complement pair rather than an ordering. NOTE: C4's 6-bit charge does NOT move -- definitional rather than attested returns no bit.
C4's defined orientation (definitional, classically attested	__none__	Same retraction, TR-11 phrasing. No count, rung, orbit figure or canonical integer is affected: C4 enters the DP only as the pinned initial condition.
by definition (classically attested, Xugua Heaven-then-Earth)	__none__	Same retraction, lean/README phrasing. No Lean statement, proof, axiom set or trust base changes. The twin in lean/KingWen.lean is a source comment and is routed to the Fable lane, not swept here.
classically attested opening orientation	__none__	Same retraction, TR-1 phrasing. The 12-of-1,720,320 arithmetic is untouched -- only the epithet on the orientation was wrong.
C4's attested orientation	__none__	Same retraction, short form. Sibling found by reading rather than by the charge sheet.
by the classical Heaven-first opening	__none__	Same retraction, TR-1 sibling. 'Received' is the correct word: the transmitted sequence does open Heaven-first, but that is not independent classical attestation of the order.
classically attested (the Xugua opens Heaven-then-Earth)	reports/METHODS.md	Same retraction. METHODS.md quotes this verbatim inside its own authoritative CORRECTED marker, so it is the allow file. Directory prefix is deliberate: the allow column is a SUBSTRING match on file:line, so a bare basename can silently exempt a sibling (a bare HISTORY.md would also exempt PERFORMANCE_HISTORY.md).
C4's orientation is definitional and classically attested	documentation/CORRECTIONS.md	Same retraction. The append-only ledger quotes this verbatim at :222 and cannot be repaired, so the ledger is this row's allow file. Each registry row carries its OWN allow value, so spending it here costs nothing elsewhere.
King Wen and seven	__none__	The front-page gloss on the C6-C7 survivors, retracted 2026-08-28 and finally propagated to README.md on 2026-09-01. All eight survivors carry King Wen own pair ordering; the other seven are ORIENTATION VARIANTS of it, not different orderings, so the phrase inverted the ruling while sitting inside the non-uniqueness argument. Registered on the short form because the longer spellings survive legitimately in correction markers and withdrawal ledgers across four files, which one allow column cannot cover. NOTE the numbers 16,504 and 8 are CORRECT and must not be swept.
Fails closed: an *incomputable* key is a finding too	documentation/CORRECTIONS.md	Retired 2026-09-02. VERIFY.md sold the repr(k) oracle as fails-closed without qualification, but its completion predicate is C4/C2/C5 where RecordConvention.lean's is C2/C3/C5: a key with C3 > 776 has no valid completion under the definition and both oracles return one, INCOMPUTABLE=0, CHECK_REPR=PASS, rc 0 (executed in both languages on the C3=1080 fixture). Replaced by "Fails closed **only over the constraints it implements**" plus the C3 disclosure. Sibling of the --check-artifact C3 gap, found by sweeping the class rather than by its own charge. CORRECTIONS.md is this row's allow file because the ledger entry quotes the retired sentence verbatim to say what was retired; the allow column is per row, so spending it here exempts nothing else.
the file contains all C1–C5 solutions	__none__	Retracted 2026-09-02 (Codex V2-F48 #1, prose batch P29): REBUILD_FROM_SPEC.md's C6/C7 bullet described solutions.bin as the complete C1-C5 population. SOLUTIONS_FORMAT.md §Overview retired that reading on 2026-08-28 — every published enumeration is budgeted, so the artifact is an exactly-reproducible SLICE and its record count a LOWER BOUND — and the correction did not propagate to the recipe. No record count changes; what changes is what a count means. Registered rather than merely edited because the 2026-08-28 correction had no registry row at all, which is why GATE 3 could not see the class and a doc-wide sweep passed over this site.
Expect exactly one canonical KW record per file	__none__	Retracted 2026-09-02 (Codex V2-F48 #1, prose batch P29): the recipe's Step 9 told a rebuilder to require a King Wen record in every file. verify.py's own comment on that check reads that a shard 'legitimately need not contain King Wen'; presence is informational and only --expect-kw promotes it to a nonzero exit. A verifier built from the retracted wording would have failed valid shards. Correct statement: AT MOST one, and its absence is valid for a budgeted slice or a merged subset.
the 4 orient-variants of KW	__none__	Retracted 2026-09-02 (Codex V2-F48 #7, prose batch P29): the size of King Wen's collapsed orientation class. Executed `python3 verify.py --recount-fiber` on 2026-09-02: the C4-oriented fiber is 1,720,320 = 3*5*7*2^14, MATCHing SOLUTIONS_FORMAT.md §Deduplication semantics and TR-1 §7. The published 4 was off by a factor of 430,080 and no instrument in the repository supported it.
the 2^32 orientation search	__none__	Retracted 2026-09-02 (Codex V2-F48 #7, prose batch P29): the enumerator's per-key orientation space. C4 pins slot 0's orientation, so 31 of the 32 orientation bits are free; SOLUTIONS_FORMAT.md §Deduplication semantics states the recoverable space as 2^31 (2,147,483,648) and the recipe published double it. NOTE the 1,720,320 fiber figure is CORRECT and must not be swept — it is 1 in 1,248 of the 2^31.
the deterministic choice within a canonical class is the lex-smallest orient variant by full-byte comparison	__none__	Retracted 2026-09-02 (prose batch P29, sibling swept while adjudicating Codex V2-F48 #2): REBUILD_FROM_SPEC.md's §Gaps bullet stated the dedup representative as an unconditional class-global minimum. SOLUTIONS_FORMAT.md §Deduplication withdrew exactly that unqualified form on 2026-09-01 — solve.c keeps a running byte-wise minimum over the variants a run ACTUALLY INSERTS, which is not the class-global minimum, because every published enumeration is budgeted. Registered on the recipe's own hyphenated wording: SOLUTIONS_FORMAT.md narrates its retraction with 'lexicographically smallest', a different string, so no allow file is needed.
will be correct and byte-reproducible	__none__	Retracted 2026-09-02 (Codex V2-F48 #2, prose batch P29): REBUILD_FROM_SPEC.md's closing claim. Correctness stands; byte-reproducibility is a property of the PRODUCER and Steps 1-11 structurally cannot test it, because the competing orient variants of a canonical class are what dedup removed. EXECUTED 2026-09-02: a two-record artifact holding natural King Wen plus a C1-C5-valid non-minimal orient variant of a second key returns VERIFY PASS from verify.py under --expect-kw and ARTIFACT=PASS from verify.c --check-artifact, while verify.py --check-repr on the same file reports DISAGREE=1 / CHECK_REPR=FAIL. The reviewer's prescribed fix (wire the repr oracle into --check-artifact as BAD_REPR) was NOT adopted: solutions.bin is a pre-normalization artifact and a raw merge output disagrees with the global representative on 1.06%-42.2% of records (measured 2026-08-15 over 1,776,347,935), so that check would fail canonical artifacts.
