id	date	class	matched	source	document	line	text
INL-fc1723d	-	C4	caveat	inline	README.md	279	**Honesty apparatus.** Every caveat lives in [CRITIQUE.md](documentation/CRITIQUE.md) — read it before
INL-1705af30	-	C3	corrected	inline	README.md	281	look-elsewhere accounting, and the corrected published results (the scorecard is
INL-29fa86c0	-	C3	corrections	inline	README.md	282	[CLAIMS_DECIDED.md](documentation/CLAIMS_DECIDED.md); the full never-silent corrections ledger — including a
INL-16ab92b	-	C1	retracted	inline	README.md	283	retracted theorem — is [CORRECTIONS.md](documentation/CORRECTIONS.md)). It also reports the corpus-control test:
INL-352c6dd5	-	C3	corrected	inline	README.md	314	[CLAIMS_DECIDED](documentation/CLAIMS_DECIDED.md) — the empirical scorecard (what's refuted, corrected, forced, confirmed) · [SOLVE_SUMMARY](documentation/SOLVE_SUMMARY.md) — plain-language results · [CITATIONS](documentation/CITATIONS.md) — every source, every attribution, annotated bibliography · [HISTORY](documentation/HISTORY.md) — the project narrative including its mistakes. · [CORRECTIONS]( [...truncated]
INL-20fecb40	-	C3	corrections	inline	README.md	318	**`main` is the published corpus.** Corrections land here and nowhere else: when a claim is
INL-182aae10	-	C1	withdrawn	inline	README.md	319	withdrawn or restated, [CORRECTIONS.md](documentation/CORRECTIONS.md) records it and the affected
INL-2c660ee9	-	C3	corrected	inline	README.md	324	project has since corrected** — including figures later found to be wrong. They predate
INL-697a340	-	C3	corrections	inline	README.md	325	`CORRECTIONS.md` itself, so a branch offers no way to discover what changed. They are kept public
INL-3234b60b	2026-07-05	C3	corrected	inline	README.md	356	* Edward L. Shaughnessy, *I Ching: The Classic of Changes*, Ballantine Books, 1996 (translation of the Mawangdui manuscript); the project's Mawangdui ordering array follows Shaughnessy, *The Origin and Early Development of the Zhou Changes*, Brill, 2022, Table 11.2 (corrected 2026-07-05 — see CITATIONS.md errata)
INL-26357463	2026-07-04	C3	supersedes	inline	documentation/BOUNDARY_MINIMUM.md	3	*(revised 2026-07-04; supersedes the "non-monotone 4→5→4" version of 2026-06-11, formerly `BOUNDARY_MINIMUM_NON_MONOTONE.md`)*
INL-29c87bbd	2026-06-11	C1	retracted	inline	documentation/BOUNDARY_MINIMUM.md	21	Because boundary matching is a set intersection (commutative), the greedy "order" is a search heuristic, not a semantic difference: any permutation of the same boundary set eliminates the same records. (A) and (B) are therefore consistent by construction — when §[8] = 0, no 4-set (ordered or not) can reach {KW}, and the greedy §[6] minimum is necessarily ≥ 5. The 2026-06-11 version of this documen [...truncated]
INL-206ae1b5	2026-09-02	C3	corrected	inline	documentation/BOUNDARY_MINIMUM.md	48	⚠ **[CORRECTED 2026-09-02 — column A and column B held two different objects and the "Greedy set" column carried both. §[6] selects a **single** ordered set per dataset; §[8] returns a **family**. The two 10T rows previously showed the §[8] family under the greedy heading: the d2 greedy walk picks `2 → 27 → 25 → 21`, the d3 10T walk `4 → 27 → 25 → 1`. Separately, the d3 10T family was published as [...truncated]
INL-14b2cf3b	-	C3	transcription	inline	documentation/BOUNDARY_MINIMUM.md	58	**The 5th boundary exists for exactly one record.** After `{4, 27, 25, 21}`, the sole surviving non-KW record at both canonical scales is the **position-2/3 block swap** — KW with the pair blocks at positions 2 and 3 interchanged — carried as `rec#330177707` at 560T and `rec#104178045` at 100T (the ordering is the same at both scales; the index is dataset-relative, see the head of this document). [...truncated]
INL-11b1b9bf	-	C3	transcription	inline	documentation/BOUNDARY_MINIMUM.md	82	- **d3 560T: `canonical-archive/20260608_560T_9a968fa2/analyze_v3_560T.log` — ⚠ NOT PUBLIC.** `canonical-archive/…` is operator-held cold blob storage, not a public URL ([CANONICAL_HASHES.md](CANONICAL_HASHES.md) §"Access boundary"), and `runs/20260608_560T_9a968fa2/` in this repository holds only `viz/`. **Every 560T §[6]–§[8] and §[24] figure on this page is a transcription from that operator-he [...truncated]
INL-22c8a2bd	2026-04-19	C3	correction	inline	documentation/BOUNDARY_MINIMUM.md	93	For the original 100T cross-partition analysis surfacing the boundary-minimum-grew-from-4-to-5 finding, see CITATIONS.md and the original 2026-04-19 analyze log archived at `runs/20260419_100T_d3_d128westus3/`. For the 560T --analyze algorithmic rewrites that made canonical-scale --analyze tractable (~24h → 3h 47m on D128), see [`HISTORY.md`](HISTORY.md) "June 10-11, 2026" entry. For the full §[1] [...truncated]
INL-271b97ec	2026-09-02	C3	correction	inline	documentation/BOUNDARY_MINIMUM.md	97	*Revision 2026-09-02 (adjudicated correction batch — three findings, plus one sibling sweep): no count, sha, survivor ladder or greedy-minimum size moves. (1) **Cross-scale identifiers.** `rec#` literals are dataset-relative — an index into one dataset's sort order — so `rec#330177707` was wrong wherever it was qualified as holding "at every tested depth" or "at both canonical scales". The hardest [...truncated]
INL-3262fa62	2026-07-04	C3	corrected	inline	documentation/BOUNDARY_MINIMUM.md	99	*Revision 2026-07-04 (primary-evidence sweep): the d3 100T record count cited in this document was corrected 3,432,399,298 → 3,432,399,297 — a 2026-05-30 doc-pass "correction" divided the file size by 32 without subtracting the 32-byte header; the sha256 anchor `915abf30…` is unaffected. See [CANONICAL_HASHES.md](CANONICAL_HASHES.md) §d3 100T.*
INL-c735da8	2026-09-01	C3	corrected	inline	documentation/BRANCHES_EXPLAINED.md	63	the other rules. ⚠ **[CORRECTED 2026-09-01 — the orientation was
INL-192fb486	2026-07-26	C1	retracted	inline	documentation/BRANCHES_EXPLAINED.md	73	orientation was forced by C5 — retracted 2026-07-26; see SOLVE_SUMMARY.md / CLAIMS_DECIDED.md.)*
INL-e33537d	-	C4	hedged	inline	documentation/BRANCHES_EXPLAINED.md	91	enumeration is the novel contribution." **That was an unhedged priority
INL-3a888192	-	C1	withdrawn	inline	documentation/BRANCHES_EXPLAINED.md	92	claim and it is withdrawn as stated.** A prior-art sweep aimed
INL-2a5f86f1	-	C4	caveat	inline	documentation/BRANCHES_EXPLAINED.md	322	[CANONICAL_HASHES.md](CANONICAL_HASHES.md) §"PSB-formula caveat". The same
INL-1d0f1f2b	2026-09-02	C3	corrected	inline	documentation/BRANCHES_EXPLAINED.md	327	⚠ **[CORRECTED 2026-09-02 — this paragraph read that a 13-node gap in 63
INL-1690b000	-	C4	caveat	inline	documentation/BRANCHES_EXPLAINED.md	332	[CANONICAL_HASHES.md](CANONICAL_HASHES.md) §"PSB-formula caveat" table and
INL-22e8002	2026-09-01	C3	corrected	inline	documentation/BRANCHES_EXPLAINED.md	333	corrected there on 2026-09-01; this site and
INL-3042994c	-	C3	corrections	inline	documentation/BRANCHES_EXPLAINED.md	339	[CORRECTIONS.md](CORRECTIONS.md).]**
INL-2e362	-	C4	qualifier	inline	documentation/BRANCHES_EXPLAINED.md	460	qualifier. Changing the depth changes the number of cells — 3,030 at
INL-1ef05ce1	2026-08-24	C1	withdrawn	inline	documentation/BRANCHES_EXPLAINED.md	497	| (unbounded — exhaustion) | (exhausted to true completion) | ≈3×10³⁷ distinct-canonical (est.)¹ ⚠ **[WITHDRAWN 2026-08-24 — this figure exceeds its own 31! ≈ 8.2228×10³³ ceiling by ~4,013×; see documentation/CORRECTIONS.md]** | — |
INL-1377d342	2026-08-24	C1	withdrawn	inline	documentation/BRANCHES_EXPLAINED.md	505	roughly **1.3×10³⁸ raw** (≈**3×10³⁷ distinct-canonical** ⚠ **[WITHDRAWN 2026-08-24 — this figure exceeds its own 31! ≈ 8.2228×10³³ ceiling by ~4,013×; see documentation/CORRECTIONS.md]**). This is an
INL-114e2f1c	2026-07-26	C1	withdrawn	inline	documentation/BRANCHES_EXPLAINED.md	523	joint-density result (rank < 10⁻⁵) was withdrawn 2026-07-26 as circular
INL-5423d0c	-	C3	corrected	inline	documentation/BRANCHES_EXPLAINED.md	594	mistaking one for the other is the exact error that document corrected.
INL-2949ce97	2026-08-24	C1	withdrawn	inline	documentation/BRANCHES_EXPLAINED.md	628	raw** (≈**3×10³⁷ distinct-canonical** ⚠ **[WITHDRAWN 2026-08-24 — this figure exceeds its own 31! ≈ 8.2228×10³³ ceiling by ~4,013×; see documentation/CORRECTIONS.md]**) — an exploration estimate, not a
INL-27568f45	2026-07-26	C1	withdrawn	inline	documentation/BRANCHES_EXPLAINED.md	632	here (the joint-density rank < 10⁻⁵) was withdrawn 2026-07-26 as
INL-1ae607fb	-	C3	superseded	inline	documentation/BRANCHES_EXPLAINED.md	683	carries C3; `--sat-c4` is opt-in; and `--sat-c5` is deferred/superseded —
INL-38f7025a	2026-08-24	C1	withdrawn	inline	documentation/BRANCHES_EXPLAINED.md	717	(≈**3×10³⁷ distinct-canonical** ⚠ **[WITHDRAWN 2026-08-24 — this figure exceeds its own 31! ≈ 8.2228×10³³ ceiling by ~4,013×; see documentation/CORRECTIONS.md]**) — an exploration estimate, not a
INL-33078b2a	2026-07-04	C3	corrected	inline	documentation/BRANCHES_EXPLAINED.md	800	*Revision 2026-07-04 (primary-evidence sweep): the d3 100T record count cited in this document was corrected 3,432,399,298 → 3,432,399,297 — a 2026-05-30 doc-pass "correction" divided the file size by 32 without subtracting the 32-byte header; the sha256 anchor `915abf30…` is unaffected. See [CANONICAL_HASHES.md](CANONICAL_HASHES.md) §d3 100T.*
INL-1b3281c8	2026-09-01	C3	correction	inline	documentation/BRANCHES_EXPLAINED.md	802	*Revision 2026-09-01 (prose-correction batch P21 — this document's first pass through the correction lane): eleven adjudicated findings applied. Partition invariance qualified to a fixed partition depth and to the exhaustive-vs-budgeted restriction (Part 10 and the glossary); the two Part 9 example commands given their `SOLVE_DEPTH=3` and `SOLVE_PER_SUB_BRANCH_LIMIT` prefixes, with the depth-2/unb [...truncated]
INL-2aadb9c8	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	14	> ⚠ **[CORRECTED 2026-09-01 — this boxed note contradicted itself and the
INL-968367a	-	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	75	not being retired — see §10 and the boxed note at the top. *Corrected
INL-106670eb	2026-09-02	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	105	⚠ **[CORRECTED 2026-09-02 (prose batch P70) — item 4 named only the source
INL-4844a33	-	C3	correction	inline	documentation/CAMPAIGN_METHODOLOGY.md	109	carries its own correction marker; that pass did not sweep this second site,
INL-1bcb4bcf	-	C1	retracted	inline	documentation/CAMPAIGN_METHODOLOGY.md	117	[RETRACTED_PHRASES.tsv](RETRACTED_PHRASES.tsv) and keyed in
INL-2410c9a9	-	C3	corrections	inline	documentation/CAMPAIGN_METHODOLOGY.md	118	[CORRECTIONS.md](CORRECTIONS.md) as `RP-60bf9367`.]**
INL-2f33f0ea	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	134	⚠ **[CORRECTED 2026-09-01 — this read "≥4,900 T nodes", understating the
INL-2ab5731e	-	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	141	`CANONICAL_HASHES.md` carried the same figure and is corrected in the same
INL-1a35447f	-	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	142	pass. The corrected value is the one the underlying single-cell probe recorded
INL-18f73653	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	160	⚠ **[CORRECTED 2026-09-01 — this read "a function of (source code, search
INL-6a634cb	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	237	> `10.0.0.0/24` in `az network vnet create` examples. *(Corrected 2026-09-01: this asserted a
INL-3cdfe04	-	C3	rounding	inline	documentation/CAMPAIGN_METHODOLOGY.md	239	> and `*.py` returns the five above. The surrounding no-credentials claim is unaffected — link-local
INL-24e53b82	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	394	⚠ **[CORRECTED 2026-09-01 — the acceptance criteria published here certified a
INL-1114eea8	2026-08-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	416	> **CORRECTED 2026-08-01 — the recipe previously published here was NOT EXECUTABLE.**
INL-4c07c0f	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	427	> ⚠ **[CORRECTED AGAIN 2026-09-01 — the 2026-08-01 replacement repeated the defect its own
INL-3785131c	-	C3	correction	inline	documentation/CAMPAIGN_METHODOLOGY.md	428	> correction note had just diagnosed, and added two more.** (i) It asserted `blob[:4] == b'ROAE'`
INL-281df72e	-	C4	caveat	inline	documentation/CAMPAIGN_METHODOLOGY.md	541	### 4.1 Post-merge artifact preservation: NOT automatic (SPOF caveat)
INL-44488e5	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	656	⚠ **[CORRECTED 2026-09-01 — this read "sha-stability has been demonstrated
INL-18fad53e	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	698	⚠ **[CORRECTED 2026-09-01 — the second bullet previously read: reproducing on
INL-1cc21f9c	2026-08-28	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	725	| Pre-merge shard records (per-sub-branch canonical) | **43,876,464,466** (4.17× cross-sub-branch rediscovery ratio — NOT an orientation-dedup ratio) ⚠ **[LABEL CORRECTED 2026-08-28 — these are per-sub-branch CANONICAL keys, not raw oriented leaves: `solve.c:39-61` deduplicates on pair identity with the orient bit masked and CLEARS the table after each sub-branch, so the total counts cross-sub-bra [...truncated]
INL-35c8af63	2026-09-01	C1	withdrawn	inline	documentation/CAMPAIGN_METHODOLOGY.md	733	| Total realized cost | **not published.** The pre-launch projection was $150–185; the realized total varied with eviction-defer wall-time and no itemized ledger has been published for it. ⚠ **[CORRECTED 2026-09-01 — this read "recorded in HISTORY.md campaign ledger". It is not: the 560 T entry in HISTORY.md records launch, wall, records, sha, dedup ratio, verify status and eviction count, and no [...truncated]
INL-d9edc3f	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	868	count**. ⚠ **[CORRECTED 2026-09-01 — this read "63.6 %" and "0.37×",
INL-1e6851d1	-	C3	supersede	inline	documentation/CAMPAIGN_METHODOLOGY.md	870	the campaign's own finals in §7 of this document supersede it: 65,281
INL-169c479a	2026-08-01	C3	correction	inline	documentation/CAMPAIGN_METHODOLOGY.md	901	failures that each required hand-correction. Any future extension (the 1120T step is not planned as of 2026-08-01; this recipe is retained so a
INL-e4ba59a	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	998	⚠ **[CORRECTED 2026-09-01 — this read "≈ 22 min per pass" here and again
INL-1c8af037	-	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	1001	entry) and is **not** corrected there by this pass — reported, not
INL-1b6fd777	-	C1	withdrawn	inline	documentation/CAMPAIGN_METHODOLOGY.md	1003	site named above is now corrected, and its withdrawn cost comparison with
INL-2fc79a2c	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	1017	⚠ **[CORRECTED 2026-09-01 — this read "finished a full --analyze on the
INL-12febc6b	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	1050	⚠ **[CORRECTED 2026-09-01 — the cost read "~$5/hr × 1.5 h = ~$7.50" and
INL-5b7f300	-	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	1052	(1120T)". Both descended from the ~1.5 h projection corrected above. At the
INL-2938af30	-	C1	withdrawn	inline	documentation/CAMPAIGN_METHODOLOGY.md	1062	so, and both are withdrawn rather than rescaled.
INL-28b08e34	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	1103	⚠ **[CORRECTED 2026-09-01 — replaces "Extension cost is NOT 2× the source's
INL-1dc3a449	-	C1	withdrawn	inline	documentation/CAMPAIGN_METHODOLOGY.md	1108	and the cap-hit fraction is 100 %. The dollar figures are withdrawn for
INL-1d9c1173	2026-09-01	C3	corrected	inline	documentation/CAMPAIGN_METHODOLOGY.md	1121	⚠ **[CORRECTED 2026-09-01 — this read "Real estimate is ~3-5 days enum
INL-19853070	-	C3	correction	inline	documentation/CAMPAIGN_METHODOLOGY.md	1128	correction. Note also that the `#167` redo hazard described in rule 9
INL-34e7c140	2026-08-28	C3	corrected	inline	documentation/CANONICAL_HASHES.md	79	> both runs found solutions in the **same 65,281 cells**, and the old run's pre-merge shard total ⚠ **[LABEL CORRECTED 2026-08-28 — these are per-sub-branch CANONICAL keys, not raw oriented leaves: `solve.c:39-61` deduplicates on pair identity with the orient bit masked and CLEARS the table after each sub-branch, so the total counts cross-sub-branch rediscovery. It is a LOWER BOUND on raw leaves v [...truncated]
INL-1f687dec	2026-08-28	C3	corrected	inline	documentation/CANONICAL_HASHES.md	95	**Campaign details:** D128als_v7 Spot westus3 enum, 4 TB Premium SSD for shards, 171.5 h wall time across 5 weekday Spot evictions (all in a tight 07:12-07:49 PT window — see [HISTORY.md](HISTORY.md) "June 1-8, 2026" entry). 158,364/158,364 cells scanned (100%), 65,281 cells produced solutions (41.2% yield). Merge: D16als_v7 Standard, external chunked-sort on Premium scratch, 18 h 42 m wall. 43.88 [...truncated]
INL-3a6e40a3	2026-08-01	C1	withdrawn	inline	documentation/CANONICAL_HASHES.md	97	**Power-law fit (3-point across 11.2T → 100T → 560T):** records ∝ T^α with α ≈ 0.67 (3-point log-log fit; pairwise legs 0.69 and 0.65). 1120T extension projection ≈ 16.7 B records — a **projection that will not be measured**: the 1120T extension is not planned (2026-08-01). The 2026-06-14 three-point per-cell analysis confirms the record sets are **strictly nested** under pair-identity keying (11. [...truncated]
INL-33d1c77a	2026-04-20	C3	corrected	inline	documentation/CANONICAL_HASHES.md	123	- **Established:** 2026-04-20 by the original 100T campaign (solver commit `edccb16`; run archive [`runs/20260419_100T_d3_d128westus3/`](../runs/20260419_100T_d3_d128westus3/)); bytes destroyed 2026-05-06, re-derived byte-identically 2026-05-09/10 on modern code — see Recovery history below. *(Corrected 2026-07-26: this row previously said "2026-04-29 by post-`f42f2ae` code" — wrong on both date a [...truncated]
INL-1acb095b	2026-06-19	C3	superseded	inline	documentation/CANONICAL_HASHES.md	141	- **Cold blob:** `canonical-archive/20260619_100T_915abf30/` — uploaded 2026-06-19 from the fresh v3 100T re-derive (completed 2026-06-13; consumed by the 3-point trajectory analysis, HISTORY.md 2026-06-14), spec-v1 complete (solutions.bin.gz + sha sidecars + shards.tar + manifest + DONE marker; ~94 GiB). Presence re-verified live 2026-07-17 (blob present at Cool tier, 12,586,020,198 bytes) and by [...truncated]
INL-1cef478b	2026-07-04	C3	correction	inline	documentation/CANONICAL_HASHES.md	143	**Record-count correction 2026-07-04 (reverses the erroneous 2026-05-30 note that previously stood here):** the canonical 100T record count is **3,432,399,297**. The 2026-05-30 revision "corrected" the original 3,432,399,297 to 3,432,399,298 by dividing the file size (109,836,777,536 bytes) by 32 — but that quotient **includes the 32-byte file header**. Correct arithmetic: (109,836,777,536 − 32) / [...truncated]
INL-64ad907	2026-05-27	C2	propagate	inline	documentation/CANONICAL_HASHES.md	163	| 2026-05-27 (#108 witness) | c72eada + #108 + #108b (commit `6e853fc`), binary sha `1ce20ff3…` | D128als_v7 Spot westus3, enum 7810s, manual external-merge + 100GB tmpfs scratch | `0c0fe37c…` byte-identical — demonstrates the 1T drift on c72eada (`5a0f0bc2…` → `74d39760…`) does NOT propagate to 11.2T (per-cell budget at 11.2T is 11× larger than at 1T, enough buffer that record-set is stable) |
INL-27236f09	2026-05-04	C3	renumber	inline	documentation/CANONICAL_HASHES.md	166	| 2026-05-04 (recovery cascade) | v1 modern, post-#45 **patched** binary | fresh full-enum, 2026-05-04 04:21Z | `0c0fe37c…` byte-identical — **the eighth path this heading counts**; the run is recorded in [HISTORY.md](HISTORY.md) §"8-path equivalence at 11.2T proven" and under its "May 4 – May 5, 2026 PDT" entry. ⚠ **[ROW ADDED 2026-09-02 — the heading above has said eight since it was written and [...truncated]
INL-2eddc3c2	2026-05-31	C3	typo	inline	documentation/CANONICAL_HASHES.md	180	**Tier 1 incident note:** the 2026-05-31 dress rehearsal supervisor surfaced a phantom drift report from a typo'd hardcoded anchor sha; resolved by independent empirical sha256 against archived bytes — see `petersm3/roae-private:PHANTOM_DRIFT_RESOLUTION_2026_05_31.md`.
INL-2c91616c	2026-06-13	C1	withdrawn	inline	documentation/CANONICAL_HASHES.md	182	A fresh v3 re-derive completed 2026-06-13 and was consumed by the 3-point trajectory analysis ([HISTORY.md](HISTORY.md) 2026-06-14); its per-cell shards were archived per Canonical Archive Spec v1/13 for that analysis. ⚠ **[CORRECTED 2026-09-02 — this sentence also said the run was archived in order to add a further witness beyond the eight above. That claim is withdrawn; the retired form is regis [...truncated]
INL-34173f	2026-08-30	C1	retracted	inline	documentation/CANONICAL_HASHES.md	249	Differs from the `5a0f0bc2…` v3-BRANCH-lineage 1T anchor (12,000 records fewer). ⚠ **[CORRECTED 2026-08-30 — this read "LTO compiler-layout effects from hardening commits between `9f10f05` (v3 reset) and `c72eada`". That is the May-25 diagnosis, and it was **superseded on May 27** and is retracted here.** The settled Task-#108 result (Q4–Q10) is that the drift is **host-environment-level** — gcc/g [...truncated]
INL-37a26d50	-	C2	propagate	inline	documentation/CANONICAL_HASHES.md	251	**Note on the 1T-vs-11.2T drift gap:** the c72eada drift at 1T (`5a0f0bc2…` → `74d39760…`) does NOT propagate to 11.2T (where both lineages produce `0c0fe37c…` byte-identically). Mechanism: BUDGETED-cell-density-sensitive — at 11.2T per-cell budget (70.7M nodes) is 11× larger than at 1T (6.3M nodes), enough buffer that record-set is stable across the 7 hardening commits' source-level changes. The [...truncated]
INL-2725ae11	2026-08-30	C3	corrected	inline	documentation/CANONICAL_HASHES.md	267	**NOT REPRODUCIBLE on current main HEAD `c72eada` or later from a differently-provisioned host** — the drift is **host-environment-level** (gcc/glibc/kernel patch versions, ASLR seed, CPU microcode revision), **not source-level**, and it **re-derives byte-identically on a matching host**. ⚠ **[CORRECTED 2026-08-30 — this row read "due to LTO compiler-layout drift from the 7 hardening commits betwe [...truncated]
